budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count,language,director_name,director_popularity,actor_1_name,actor_2_name,actor_3_name,cast_popularity
270000000,Adventure|Fantasy|Action|Science Fiction,http://www.superman.com,1452,saving the world|dc comics|invulnerability|sequel|superhero|based on comic book|kryptonite|super powers|superhuman strength|lex luthor,en,Superman Returns,"Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel.",57.925623,DC Comics|Legendary Pictures|Warner Bros.|Bad Hat Harry Productions,US,2006-06-28,391081192,154.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,,Superman Returns,5.4,1400,English,Bryan Singer,2.354674,Brandon Routh,Kevin Spacey,Kate Bosworth,34.500372000000006
200000000,Adventure|Action|Thriller|Crime,http://www.mgm.com/view/movie/234/Quantum-of-Solace/,10764,killing|undercover|secret agent|british secret service,en,Quantum of Solace,"Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.",107.92881100000001,Eon Productions,GB|US,2008-10-30,586090727,106.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}, {'iso_639_1': 'it', 'name': 'Italiano'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,"For love, for hate, for justice, for revenge.",Quantum of Solace,6.1,2965,English,Marc Forster,0.355754,Daniel Craig,Olga Kurylenko,Mathieu Amalric,36.360307000000006
200000000,Adventure|Fantasy|Action,http://disney.go.com/disneypictures/pirates/,58,witch|fortune teller|bondage|exotic island|monster|captain|card game|east india trading company|compass|ship|daughter|pirate|swashbuckler|aftercreditsstinger,en,Pirates of the Caribbean: Dead Man's Chest,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",145.84737900000002,Walt Disney Pictures|Jerry Bruckheimer Films|Second Mate Productions,JM|US|BS|DM,2006-06-20,1065659812,151.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'tr', 'name': 'Türkçe'}, {'iso_639_1': 'el', 'name': 'ελληνικά'}, {'iso_639_1': 'zh', 'name': '普通话'}]",Released,Jack is back!,Pirates of the Caribbean: Dead Man's Chest,7.0,5246,English,Gore Verbinski,2.692633,Johnny Depp,Orlando Bloom,Keira Knightley,57.34858400000001
255000000,Action|Adventure|Western,http://disney.go.com/the-lone-ranger/,57201,texas|horse|survivor|texas ranger|partner|outlaw|escape|lawyer|train|lone ranger|comanche|the lone ranger|tonto,en,The Lone Ranger,"The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.",49.046956,Walt Disney Pictures|Jerry Bruckheimer Films|Infinitum Nihil|Silver Bullet Productions (II)|Blind Wink Productions|Classic Media,US,2013-07-03,89289910,149.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Never Take Off the Mask,The Lone Ranger,5.9,2311,English,Gore Verbinski,2.692633,Johnny Depp,Armie Hammer,William Fichtner,43.067037000000006
225000000,Action|Adventure|Fantasy|Science Fiction,http://www.manofsteel.com/,49521,saving the world|dc comics|superhero|based on comic book|superhuman|alien invasion|reboot|super powers|dc extended universe,en,Man of Steel,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",99.398009,Legendary Pictures|Warner Bros.|DC Entertainment|Syncopy|Cruel and Unusual Films,GB|US,2013-06-12,662845518,143.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,You will believe that a man can fly.,Man of Steel,6.5,6359,English,Zack Snyder,3.195289,Henry Cavill,Amy Adams,Michael Shannon,88.640102
225000000,Adventure|Family|Fantasy,,2454,based on novel|fictional place|brother sister relationship|lion|human being|wretch|leap in time|matter of life and death|faith|uncle|narnia|fantasy world,en,The Chronicles of Narnia: Prince Caspian,"One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.",53.978602,Walt Disney|Walden Media|Stillking Films|Ozumi Films|Propeler|Silverbell Films|Revolution Sun Studios,CZ|PL|SI|US,2008-05-15,419651413,150.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Hope has a new face.,The Chronicles of Narnia: Prince Caspian,6.3,1630,English,Andrew Adamson,1.276093,Ben Barnes,William Moseley,Anna Popplewell,34.173474000000006
220000000,Science Fiction|Action|Adventure,http://marvel.com/avengers_movie/,24428,new york|shield|marvel comic|superhero|based on comic book|alien invasion|superhero team|aftercreditsstinger|duringcreditsstinger|marvel cinematic universe,en,The Avengers,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",144.448633,Paramount Pictures|Marvel Studios,US,2012-04-25,1519557910,143.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Some assembly required.,The Avengers,7.4,11776,English,Joss Whedon,3.296794,Robert Downey Jr.,Chris Evans,Mark Ruffalo,160.79982799999993
380000000,Adventure|Action|Fantasy,http://disney.go.com/pirates/index-on-stranger-tides.html#/video/,1865,sea|captain|mutiny|sword|prime minister|sailing|silver|ship|duke|mermaid|pirate|soldier|battle|swashbuckler|aftercreditsstinger|3d,en,Pirates of the Caribbean: On Stranger Tides,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",135.413856,Walt Disney Pictures|Jerry Bruckheimer Films|Moving Picture Company (MPC),US,2011-05-14,1045713802,136.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,Live Forever Or Die Trying.,Pirates of the Caribbean: On Stranger Tides,6.4,4948,English,Rob Marshall,1.026459,Johnny Depp,Penélope Cruz,Ian McShane,45.047688
225000000,Action|Comedy|Science Fiction,http://www.sonypictures.com/movies/meninblack3/,41154,time travel|time machine|alien|fictional government agency|seeing the future|changing history,en,Men in Black 3,"Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind.",52.035179,Amblin Entertainment|Media Magik Entertainment|Imagenation Abu Dhabi FZ|Hemisphere Media Capital|Parkes/MacDonald Productions,US,2012-05-23,624026776,106.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,They are back... in time.,Men in Black 3,6.2,4160,English,Barry Sonnenfeld,0.075558,Will Smith,Tommy Lee Jones,Josh Brolin,42.909048
250000000,Action|Adventure|Fantasy,http://www.thehobbit.com/,122917,corruption|elves|dwarves|orcs|middle-earth (tolkien)|hobbit|dragon|battle|unlikely friendship|epic battle|sword and sorcery,en,The Hobbit: The Battle of the Five Armies,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",120.96574299999999,WingNut Films|New Line Cinema|Warner Bros. Pictures|3Foot7|Metro-Goldwyn-Mayer (MGM),NZ|US,2014-12-10,956019788,144.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Witness the defining chapter of the Middle-Earth saga,The Hobbit: The Battle of the Five Armies,7.1,4760,English,Peter Jackson,2.434449,Martin Freeman,Ian McKellen,Richard Armitage,94.57145100000004
215000000,Action|Adventure|Fantasy,http://www.theamazingspiderman.com,1930,loss of father|vigilante|serum|marvel comic|scientific experiment|spider bite|masked vigilante|reboot|super powers|genetic engineering|social outcast|duringcreditsstinger,en,The Amazing Spider-Man,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",89.866276,Columbia Pictures|Laura Ziskin Productions|Marvel Entertainment,US,2012-06-27,752215857,136.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The untold story begins.,The Amazing Spider-Man,6.5,6586,English,Marc Webb,0.049496,Andrew Garfield,Emma Stone,Rhys Ifans,47.099061000000034
200000000,Action|Adventure,http://www.robinhoodthemovie.com/,20662,robin hood|archer|knight|sherwood forest|bow and arrow|middle ages|medieval|king of england,en,Robin Hood,"When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.",37.668301,Imagine Entertainment|Universal Pictures|Scott Free Productions|Relativity Media,GB|US,2010-05-12,310669540,140.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'th', 'name': 'ภาษาไทย'}]",Released,"Rise and rise again, until lambs become lions.",Robin Hood,6.2,1398,English,Ridley Scott,3.382689,Russell Crowe,Cate Blanchett,Max von Sydow,65.289437
250000000,Adventure|Fantasy,http://www.thehobbit.com/,57158,elves|dwarves|orcs|hobbit|dragon|wizard|sword and sorcery,en,The Hobbit: The Desolation of Smaug,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.",94.370564,WingNut Films|New Line Cinema|Warner Bros. Pictures|Metro-Goldwyn-Mayer (MGM),NZ|US,2013-12-11,958400000,161.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Beyond darkness... beyond desolation... lies the greatest danger of all.,The Hobbit: The Desolation of Smaug,7.6,4524,English,Peter Jackson,2.434449,Martin Freeman,Ian McKellen,Richard Armitage,86.567406
180000000,Adventure|Fantasy,http://www.goldencompassmovie.com/index_german.html,2268,england|compass|experiment|lordship|uncle|polar bear|orphan|animal|based on young adult novel,en,The Golden Compass,"After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny.",42.990906,New Line Cinema|Ingenious Film Partners|Depth of Field|Scholastic Productions,GB|US,2007-12-04,372234864,113.0,"[{'iso_639_1': 'is', 'name': 'Íslenska'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ru', 'name': 'Pусский'}, {'iso_639_1': 'fr', 'name': 'Français'}]",Released,There are worlds beyond our own - the compass will show the way.,The Golden Compass,5.8,1303,Íslenska,Chris Weitz,2.502018,Dakota Blue Richards,Nicole Kidman,Daniel Craig,51.66380300000001
207000000,Adventure|Drama|Action,,254,film business|screenplay|show business|film making|film producer|exotic island|monster|indigenous|ship|dinosaur,en,King Kong,"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.",61.226009999999995,WingNut Films|Universal Pictures|Big Primate Pictures|MFPV Film,NZ|US|DE,2005-12-14,550000000,187.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The eighth wonder of the world.,King Kong,6.6,2337,English,Peter Jackson,2.434449,Naomi Watts,Jack Black,Adrien Brody,32.16189800000001
200000000,Drama|Romance|Thriller,http://www.titanicmovie.com,597,shipwreck|iceberg|ship|panic|titanic|ocean liner|epic|rich woman - poor man|love|disaster|tragic love|class differences|imax|star crossed lovers|steerage|salvage|rich snob|3d|1910s,en,Titanic,"84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.",100.025899,Paramount Pictures|Twentieth Century Fox Film Corporation|Lightstorm Entertainment,US,1997-11-18,1845034188,194.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'sv', 'name': 'svenska'}, {'iso_639_1': 'it', 'name': 'Italiano'}, {'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,Nothing on Earth could come between them.,Titanic,7.5,7562,English,James Cameron,2.703741,Kate Winslet,Leonardo DiCaprio,Frances Fisher,52.08322899999994
250000000,Adventure|Action|Science Fiction,http://marvel.com/captainamericapremiere,271110,civil war|war|marvel comic|sequel|superhero|based on comic book|imax|aftercreditsstinger|duringcreditsstinger|marvel cinematic universe|3d,en,Captain America: Civil War,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",198.37239499999998,Studio Babelsberg|Marvel Studios|Walt Disney Studios Motion Pictures|Vita-Ray Dutch Productions (III)|Deluxe Digital Studios,US,2016-04-27,1153304495,147.0,"[{'iso_639_1': 'ro', 'name': 'Română'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,Divided We Fall,Captain America: Civil War,7.1,7241,Română,Anthony Russo,1.910121,Chris Evans,Robert Downey Jr.,Scarlett Johansson,122.64971000000003
209000000,Thriller|Action|Adventure|Science Fiction,,44833,fight|u.s. navy|mind reading|hong kong|soccer|scientist|fictional war|naval|armada|battleship|naval combat|jds myoko|lost communication|taser|buoy|communications expert|joint chiefs of staff|crash landing|jet fighter pilot|navy lieutenant|permission to marry|uss john paul jones|based on board game|aftercreditsstinger|mighty mo|uss missouri,en,Battleship,"When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential his brother, and his fiancée's father, Admiral Shane, expect of him.",64.928382,Universal Pictures|Hasbro|Bluegrass Films|Film 44,US,2012-04-11,303025485,131.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'th', 'name': 'ภาษาไทย'}]",Released,The Battle for Earth Begins at Sea,Battleship,5.5,2114,English,Peter Berg,2.264104,Taylor Kitsch,Alexander Skarsgård,Rihanna,35.25698300000001
150000000,Action|Adventure|Science Fiction|Thriller,http://www.jurassicworld.com/,135397,monster|dna|tyrannosaurus rex|velociraptor|island|sequel|suspense|disaster|escape|dinosaur|amusement park|animal attack|theme park|jurassic park|3d|animal horror,en,Jurassic World,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",418.708552,Universal Studios|Amblin Entertainment|Legendary Pictures|Fuji Television Network|Dentsu,US,2015-06-09,1513528810,124.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The park is open.,Jurassic World,6.5,8662,English,Colin Trevorrow,1.142369,Chris Pratt,Bryce Dallas Howard,Irrfan Khan,43.356813
200000000,Action|Adventure|Thriller,http://www.skyfall-movie.com,37724,spy|secret agent|sociopath|killer|art gallery|british secret service|istanbul turkey|imax|uzi|booby trap|impersonating a police officer|macao,en,Skyfall,"When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves.",93.004993,Columbia Pictures,GB|US,2012-10-25,1108561013,143.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Think on your sins.,Skyfall,6.9,7604,English,Sam Mendes,1.021348,Daniel Craig,Judi Dench,Javier Bardem,27.757047
200000000,Action|Adventure|Fantasy,http://www.sonypictures.com/movies/spider-man2/,558,dual identity|love of one's life|pizza boy|marvel comic|sequel|superhero|doctor|scientist|tentacle|death|super villain,en,Spider-Man 2,"Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood.",35.149586,Columbia Pictures|Laura Ziskin Productions|Marvel Enterprises,US,2004-06-25,783766341,127.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ru', 'name': 'Pусский'}, {'iso_639_1': 'zh', 'name': '普通话'}]",Released,There's a hero in all of us.,Spider-Man 2,6.7,4321,English,Sam Raimi,1.311363,Tobey Maguire,Kirsten Dunst,James Franco,72.40633700000004
200000000,Action|Adventure|Science Fiction,http://marvel.com/ironman3,68721,terrorist|war on terror|tennessee|malibu|marvel comic|superhero|based on comic book|tony stark|iron man|aftercreditsstinger|marvel cinematic universe|mandarin|3d|war machine|iron patriot|extremis,en,Iron Man 3,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",77.68208,Marvel Studios,CN|US,2013-04-18,1215439994,130.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Unleash the power behind the armor.,Iron Man 3,6.8,8806,English,Shane Black,0.275897,Robert Downey Jr.,Gwyneth Paltrow,Don Cheadle,81.82194599999997
